GROUP_NAME,DESCRIPTION,SMARTS_STRING,EXAMPLE_SMILES,COMPOUND_PROPOSAL_RULE,NEW_BB_PURCHASE_RULE
Enone,"Aliphatic or aromatic substitution on one side of ketone, and alkene is disubstituted (one end is the ketone, the other end is aliphatic or aromatic carbon)",[#6][CX3](=O)[CX3H1]=[CX3H1][#6],[2H]CC=CC(C)=O,Warn,Alert
Epoxide,Epoxide,C1OC1,[2H]C[C@H]1CO1,Alert,Alert
Ester,,[#6][OX2][CX3](=[OX1])[#6],[2H]CC(OCC)=O,Warn,Ignore
Ester (Acyclic),Ester in zero rings,[#6][OX2][CX3R0](=[OX1])[#6],[2H]CC(OCC)=O,Warn,Ignore
Ester (Methyl or Ethyl),Ester in zero rings with methyl or ethyl substitution on the O side of the ester,"[$([CX4H3]),$([CX4H2][CX4H3])][OX2][CX3R0](=[OX1])[#6]",[2H]CC(OCC)=O,Warn,Ignore
Ester (acyclic methylene or methyl),Ester in zero rings with methylene or methyl substitution on the O side of the ester,"[CX4H2,H3][OX2][CX3R0](=[OX1])[#6]",[2H]CC(OCC)=O,Warn,Ignore
Ether (Aliphatic - Aliphatic),Name is self-explanatory,[CX4][OX2][CX4],[2H]CCOC,Ignore,Ignore
Ether (Aliphatic - Aromatic),Name is self-explanatory,[CX4][OX2]c,[2H]COC1=CC=CC=C1,Ignore,Ignore
Ether (Aromatic - Aromatic),Name is self-explanatory,c[OX2]c,[2H]CC1=CC=C(C=C1)OC2=CC=CC=C2,Ignore,Ignore
Ethyl Ester,Aliphatic or aromatic substitution is allowed.,[CX4H3][CX4H2][OX2][CX3](=[OX1])[#6],CCOC(C[2H])=O,Warn,Ignore
Fmoc Carbamate or Carbonate,Will not match imides or anhydrides. Can be substituted with heteroatoms (e.g. Fmoc isocyanate),"[!$([#7,#8]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([N,O][CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)]",[2H]CNC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O,Alert,Alert
Fmoc Protected Amine,Will not match imides (must deprotect to an amine),"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)[#6])]",[2H]CNC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O,Alert,Alert
Fmoc Protected Primary Amine,Will not match imides (must deprotect to an amine),"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H1]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)[#6])]",[2H]CNC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O,Alert,Alert
Fmoc Protected Secondary Amine,Will not match imides (must deprotect to an amine),"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H0]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)([#6])[#6])]",[2H]CN(C)C(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O,Alert,Alert
Furan,Furan,o1cccc1,C1=CC=CO1,Warn,Ignore
Guanidine,Matches any tautomer. Must have H on at least one of the Ns.,"[$([NX3][CX3]([NX3])=[NX2H1]),$([NX3!H0][CX3]([NX3])=[NX2])]",N=C(NC[2H])N,Warn,Alert
Hemiacetal,Hemiacetal,[#6]-O[CH1](-[#6])[OH1],OC(OC)C[2H],Warn,Alert
Hydantoin (5-membered),Both nitrogens are substituted,[#6][NX3H0]1CC(=O)[NX3H0]([#6])C(=O)1,CN(C1=O)C(N(C1)C[2H])=O,Ignore,Ignore
Hydantoin (6-membered),Both nitrogens are substituted,[#6][NX3H0]1CCC(=O)[NX3H0]([#6])C(=O)1,CN(C1=O)C(N(CC1)C[2H])=O,Ignore,Ignore
Hydrazide,Acyl hydrazine. Will not match hydrazines or any N-substituted hydrazides,"[$([NX3H2][NX3H1][CX3](=[OX1])[#6]),$([NX3H2][NX3H1][CX3]([OD1h1])=C)]",[2H]CC(NN)=O,Alert,Alert
Hydrazine,"Will not match any poly-substituted hydrazines, hydrazides, semicarbazides, thiosemicarbazides, imidosemicarbazides, azides,or  triazines.","[$([#6][NX3H1][NX3H2])&!$([$([NX3H2][NX3H1]C=[O,N,S$(A)]),$(C(=[O,N,S$(A)])[NX3H1][NX3H2]),$([NX3H2][NX3H1][CX3]([O,N,SX2H1$(A)])=[#6]),$(C([O,N,SX2H1$(A)])(=[#6])[NX3H1][NX3H2])])]",[2H]CNN,Alert,Alert
Hydrazone,Hydrazone,N-N=[CX3],[2H]CNN=CC,Alert,Alert
Hydroxyguanidine,One of the sp3 nitrogens must be tertiary,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])[CX3]([NX3H2])=[NX2][OH1])]",NC(N(C)C[2H])=NO,Ignore,Ignore
Hydroxylamine,Either NH or NH2. O can be either be substituted or not. Not part of an amide-like group.,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2]O),$([NX3H1](O)[#6])])]",[2H]CNO,Warn,Alert
Imine (N-substituted),"Aliphatic nitrogen double bonded to a carbon, which is bonded to at least one carbon. The nitrogen is substituted. The imine can be cyclic or acyclic.",[#6]N=[CX3][#6],CN=CC,Alert,Alert
Imine (N-unsubstituted),"Aliphatic nitrogen double bonded to a carbon, which is bonded to at least one carbon. The nitrogen is unsubstituted.",[NH1]=[CX3][#6],N=CCC,Alert,Alert
Imine (Cyclic),"Aliphatic nitrogen in one ring double bonded to a carbon, which is bonded to at least one carbon.",[#6][NR1]=[CX3][#6],C1=NCCC1,Alert,Alert
Isocyanate,Does not exclude imides (i.e. benzoyl isocyanate),N=C=O,[2H]CN=C=O,Alert,Alert
Isothiocyanate,Does not exclude imides (i.e. benzoyl isothiocyanate),N=C=S,CN=C=S,Alert,Alert
Isonitrile,Any substitution on the nitrogen is allowed,[N+]#[C-],C[N+]#[C-],Alert,Alert
Isoxazole,Isoxazole,c1nocc1,[2H]CC1=CON=C1,Ignore,Ignore
Isoxazoline,Substituted with carbon at the 3 position,[CX4]1[CX4]ON=[CX3]1[#6],[2H]CC1=NOCC1,Ignore,Ignore
Ketene,Ketene,C=C=O,[2H]CC=C=O,Alert,Alert
Ketone,Matches keto and enol tautomers,"[$([#6][CX3](=[OX1])[#6]),$([CX3](=[#6])([OX2H1])[#6])]",[2H]CCC(C)=O,Warn,Alert
Ketone and Aldehyde,Ketone and an aldehyde on the same molecule,"[$([#6][CX3](=[OX1])[#6]),$([CX3](=[#6])([OX2H1])[#6])].[$([CX3h1](=[OX1])[#6]),$([CX3h1](=C)[OX2H1]),$([CX3H2]=[OX1])]",[2H]CCC(CCC=O)=O,Alert,Alert
Lactone,Ester in at least one ring,[#6][OX2][CX3!R0](=[OX1])[#6],[2H]C[C@H]1CCOC1=O,Warn,Ignore
Lawesson Reagent Derivative,Phosphorus double bonded to S with at least two more single bonds to S,P(=S)(S)S,S=P(S)(C[2H])S,Alert,Alert
MDEA Boronic Ester,N-methyl diethanolamine boronic ester.,"[$([BX3]1[OX2][CX4H2][CX4H2][NX3]([CX4H3])[CX4H2][CX4H2][OX2]1),$([BX4-]12[OX2][CX4H2][CX4H2][NX4+]1([CX4H3])[CX4H2][CX4H2][OX2]2)]",[2H]CC(C=C1)=CC=C1B2OCCN(C)CCO2,Warn,Ignore
Methyl Ester,Aliphatic or aromatic substitution is allowed.,[CX4H3][OX2][CX3](=[OX1])[#6],[2H]CC(OC)=O,Warn,Ignore
Methyl Ketone,Aliphatic or aromatic on other carbon,[#6][CX3](=[OX1])[CX4H3],[2H]CC=C=O,Warn,Alert
MIDA Boronic Ester,N-methylimino diaceticacid boronic ester.,"[$([BX3]1[OX2][CX3](=[OX1])[CX4H2][NX3]([CX4H3])[CX4H2][CX3](=[OX1])[OX2]1),$([BX4-]12[OX2][CX3](=[OX1])[CX4H2][NX4+]1([CX4H3])[CX4H2][CX3](=[OX1])[OX2]2)]",[2H]CC(C=C1)=CC=C1B2OC(CN(C)CC(O2)=O)=O,Warn,Ignore
More than 1 napthyl+ ring,More than 1 fused aromatic system that contains at minimum one napthyl fragment,[cR2]12[cR1][cR1][cR1][cR1][cR2]1[cR1][cR1][cR1][cR1]2.[cR2]12[cR1][cR1][cR1][cR1][cR2]1[cR1][cR1][cR1][cR1]2,[2H]CC1=CC=C2C(C=C(C3=CC=C(C=CC=C4)C4=C3)C=C2)=C1,Alert,Alert
More than 1 phenyl ring and at least 1 napthyl+ ring,More than 1 phenyl ring and at least 1 fused aromatic system that contains at minimum one napthyl fragment,[cR2]12[cR1][cR1][cR1][cR1][cR2]1[cR1][cR1][cR1][cR1]2.[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1,[2H]CC1=CC=C2C(C=C(C3=CC=CC(C4=CC=CC=C4)=C3)C=C2)=C1,Alert,Alert
More than 2 Cl or Br,More than 2 Cl or Br,"[Cl,Br].[Cl,Br].[Cl,Br]",[2H]CC1=CC(Cl)=C(Cl)C(Cl)=C1,Warn,Ignore
More than 2 phenyl rings,More than 2 phenyl rings. Heteroaromatic rings do not count.,[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1,[2H]CC1=CC=CC(C2=CC=CC(C3=CC=CC=C3)=C2)=C1,Warn,Ignore
More than 3 phenyl rings,More than 3 phenyl rings. Heteroaromatic rings do not count.,[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1.[cR1]1[cR1][cR1][cR1][cR1][cR1]1,[2H]CC1=CC=CC(C2=CC=CC(C3=CC(C4=CC=CC=C4)=CC=C3)=C2)=C1,Alert,Alert
Neopentyl Glycol Boronic Ester,Boron must be sp2 (can't be negatively charged with a fourth substituent),[BX3]1[OX2][CX4H2][CX4]([CX4H3])([CX4H3])[CX4H2][OX2]1,[2H]CC1=CC=C(B2OCC(C)(C)CO2)C=C1,Warn,Ignore
NHS Ester,NHS Ester,C(=O)ON1C(=O)CCC1=O,[2H]CC(ON1C(CCC1=O)=O)=O,Alert,Alert
Nitrile,Will not match cyanamides,[#6][CX2]#[NX1],[2H]CC#N,Ignore,Ignore
Nitrile (Aliphatic),Will not match cyanamides,[C][CX2]#[NX1],CC#N,Ignore,Ignore
Nitrile (Aromatic),Will not match cyanamides,[c][CX2]#[NX1],C1=CC=CC=C1C#N,Ignore,Ignore
Nitro,Matches both resonance structures,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][#6]",[2H]C[N+]([O-])=O,Alert,Alert
Nitro (Aliphatic),Matches both resonance structures,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][C]",C[N+]([O-])=O,Alert,Alert
Nitro (Aromatic),Matches both resonance structures,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][c]",CC1=CC=C([N+]([O-])=O)C=C1,Alert,Alert
Nitroalkene,Matches both resonance structures. The alpha carbon must have at least one hydrogen.,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][CX3]=[CX3!H0]",[2H]CC=C[N+]([O-])=O,Warn,Alert
Nitrodithioite,N with one double bond to S and one single bond to S,S=NS,[2H]CSN=S,Alert,Alert
Nitro-halo-aromatic ring,Nitro and F or Cl on an aromatic system,"[$([$([NX3](=O)=O),$([NX3+](=O)[O-])]cc[F,Cl]),$([$([NX3](=O)=O),$([NX3+](=O)[O-])]cac[F,Cl]),$([$([NX3](=O)=O),$([NX3+](=O)[O-])]caac[F,Cl])]",[2H]CC1=CC(F)=C([N+]([O-])=O)C=C1,Alert,Alert
Nitrophenyl Formate,"Any substitution off of the carbonyl is allowed (carbamate, carbonate, ester, formate, chloroformate, etc.)",[CX3](=O)[OX2]c1ccc([N+](=O)[O-])cc1,O=C(NCCl)OC1=CC=C([N+]([O-])=O)C=C1,Alert,Alert
Ortho-Amino-Nitro Arene,"Aromatic ring ortho substituted with one secondary or tertiary amine, and one nitro group. Any other substitution (or heteroaromatic pattern) is allowed on the aromatic ring.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3!H2]c)]cc[$([NX3](=O)=O),$([NX3+](=O)[O-])]",[2H]CC1=CC=C(NC)C([N+]([O-])=O)=C1,Alert,Alert
Ortho-Diamine,"6-membered aromatic ring ortho substituted with two basic amines, both either NH or NH2. Any substitution (or heteroaromatic pattern) is allowed on the aromatic ring.","[N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])][cr6][cr6][N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])]",[2H]CC1=CC(NC)=C(N)C=C1,Ignore,Ignore
Meta-Diamine,"6-membered aromatic ring meta substituted with two basic amines, both either NH or NH2. Any substitution (or heteroaromatic pattern) is allowed on the aromatic ring.","[N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])][cr6][ar6][cr6][N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])]",CC1=CC(NC)=CC(N)=C1,Ignore,Ignore
Para-Diamine,"6-membered aromatic ring para substituted with two basic amines, both either NH or NH2. Any substitution (or heteroaromatic pattern) is allowed on the aromatic ring.","[N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])][cr6]@[ar6]@[ar6]@[cr6][N!$([#7X3][A]=,#[A$([!#6])])&$([NX3!H0][#6])]",CC1=CC(NC)=CC=C1N,Ignore,Ignore
Ortho-Fluoro-Nitro Arene,"Aromatic ring ortho substituted with one fluorine, and one nitro group. Any other substitution (or heteroaromatic pattern) is allowed on the aromatic ring.","Fcc[$([NX3](=O)=O),$([NX3+](=O)[O-])]",FC1=CC=C(C[2H])C=C1[N+]([O-])=O,Alert,Alert
Oxazolidine (Basic Amine),The basic amine can be secondary or tertiary,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3]1CCOC1)]",CC1(C)OCCN1,Alert,Alert
Oxazolidine (Carbamate),Any type of carbamate is allowed.,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3]1(CCOC1)C(=O)O[#6])]",CC1(C)OCCN1C(=O)OC(C)(C)C,Alert,Alert
Oxazolidine (Acyl),"Any non-oxygen substitution off the carbonyl carbon is allowed. So this will match amides, ureas, sulfonamides, etc.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3]1(CCOC1)C(=O)[!#8])]",CC1(C)OCCN1C(=O)C,Alert,Alert
Oxime,The O can be substituted or unsubstituted. The carbon double bonded to the nitrogen is also single bonded to at least one carbon,O-N=[CX3][#6],CC(C)=NO,Alert,Alert
Oximinoyl Chloride,E or Z,[#6][CX3](=N[OH1])Cl,ClC(C[2H])=NO,Alert,Alert
Palladium,Palladium,[Pd],[Pd]C[2H],Alert,Alert
Para-Fluoro-Nitro Arene,"Aromatic ring para substituted with one fluorine, and one nitro group. Any other substitution (or heteroaromatic pattern) is allowed on the aromatic ring, but it must be a 6 membered ring.","Fc1aac([$([NX3](=O)=O),$([NX3+](=O)[O-])])aa1",[2H]CC1=C(F)C=CC([N+]([O-])=O)=C1,Alert,Alert
Peroxide,Oxygen single bonded to oxygen,OO,[2H]COO,Alert,Alert
Phenol,Will not match carboxylic/imidic acids or alcohols,c[OD1h1],[2H]CC1=CC=C(O)C=C1,Warn,Alert
Phosphonate Ester,"Phosphorous double bonded to oxygen, with two single bonds to oxygen. There is also a C-P single bond, and an O-C single bond.",[#6]P(=O)(O)O[#6],O=P(O)(OC)C[2H],Alert,Alert
Phosphoramide,"Phosphorous double bonded to oxygen, with three single bonds to nitrogens",NP(=O)(N)N,NP(N)(NC[2H])=O,Alert,Alert
Phosphorane,Phosphorous double bonded to C,C=P,P=CC[2H],Alert,Alert
Phosphorinane,Phosphorous double bonded to oxygen and with three single bonds to carbon,P(=O)(C)(C)C,O=P(C)(C[2H])C,Alert,Alert
Phosphorous (misc),"Phosphoramide with 0,1,2 or 3 N atoms swapped out for C, and/or the O swapped out for S","P(=[O,S])[C,N]([C,N])[C,N]",O=P(C)(C[2H])C,Alert,Alert
Phosphorous halide,"Phosphorous bonded to F, Cl, Br or I","[P][F,Cl,Br,I]",O=P(C)(C[2H])F,Alert,Alert
Pinacol Boronic Ester,Boron must be sp2 (can't be negatively charged with a fourth substituent),[BX3]1[OX2][CX4]([CX4H3])([CX4H3])[CX4]([CX4H3])([CX4H3])[OX2]1,[2H]CC1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1,Warn,Ignore
Piperazine,Both nitrogens are substituted,[#6]N1[CX4][CX4]N([#6])[CX4][CX4]1,CN1CCN(CC[2H])CC1,Ignore,Ignore
Poly-Aldehyde,At least two aldehydes in the same structure,"[$([CX3h1](=[OX1])[#6].[CX3h1](=[OX1])[#6]),$([CX3h1](=[OX1])C[CX3h1]=[OX1])]",[2H]CC(CC=O)CC=O,Alert,Alert
Poly-Alkene,More than one alkene,[CX3]=[CX3].[CX3]=[CX3],[2H]CC(CC=C)CC=C,Ignore,Ignore
Poly-Alkyl Tosylate (Not Tertiary),Other substitution on the aromatic ring is allowed.,[C!H0]OS(=O)(=O)c1ccc(C)cc1.[C!H0]OS(=O)(=O)c1ccc(C)cc1,O=S(OCC(COS(C1=CC=C(C)C=C1)(=O)=O)C[2H])(C2=CC=C(C)C=C2)=O,Alert,Alert
Poly-Alkyne,More than one alkyne. Can be terminal or internal.,[CX2]#[CX2].[CX2]#[CX2],[2H]CC(C#C)C#C,Ignore,Ignore
Poly-Amine,"At least two amines/anilines in the same structure.Only matches primary or secondary amines/anilines. (text continues below)Will match structures with a mixture of amines/anilines, and aminals","[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6])])].[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6])])]",[2H]CC(CN)CN,Ignore,Alert
Poly-Aryl Br,More than one aryl Br,cBr.cBr,[2H]CC1=CC=C(Br)C(Br)=C1,Ignore,Ignore
Poly-Aryl Br or I,More than one aryl Br or I,"c[Br,I].c[Br,I]",[2H]CC1=CC=C(Br)C(Br)=C1,Ignore,Ignore
Poly-Aryl Cl Br or I,"More than one aryl Cl, Br or I","c[Cl,Br,I].c[Cl,Br,I]",[2H]CC1=CC=C(Br)C(Br)=C1,Ignore,Ignore
Poly-Aryl I,More than one aryl I,cI.cI,[2H]CC1=CC=C(I)C(I)=C1,Alert,Alert
Poly-Aryl Tosylate,Other substitution on the aromatic ring is allowed.,cOS(=O)(=O)c1ccc(C)cc1.cOS(=O)(=O)c1ccc(C)cc1,O=S(OC1=CC(OS(C2=CC=C(C)C=C2)(=O)=O)=CC(C[2H])=C1)(C3=CC=C(C)C=C3)=O,Alert,Alert
Poly-Azide,Azide is bonded to a carbon.,[#6]-[NX2]=[NX2+]=[NX1-].[#6]-[NX2]=[NX2+]=[NX1-],[2H]CC(CN=[N+]=[N-])CN=[N+]=[N-],Alert,Alert
Poly-Boc Amine,More than one Boc Amine,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",[2H]CC(CNC(OC(C)(C)C)=O)CNC(OC(C)(C)C)=O,Warn,Alert
Poly-Boronate (acid or ester),Poly-Boronate (alkyl or aryl),[#6]B(O)O.[#6]B(O)O,[2H]CC1=CC=C(B(O)O)C(B(O)O)=C1,Warn,Alert
Poly-Carboxylic Acid,At least two carboxylic acids in the same structure,"[$([OD1h1][CX3](=[OX1])[#6].[OD1h1][CX3](=[OX1])[#6]),$([OD1h1][CX3](=[OX1])[#6][CX3](=[OX1])[OD1h1])]",[2H]CC(CC(O)=O)CC(O)=O,Warn,Alert
Poly-Ester,More than one ester,[#6]C(=O)O[#6].[#6]C(=O)O[#6],[2H]CC(CC(OC)=O)CC(OC)=O,Warn,Alert
Poly-Fmoc Amine,More than one Fmoc amine,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)[#6])].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)[#6])]",[2H]CC(CNC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O)CNC(OCC4C(C=CC=C5)=C5C6=C4C=CC=C6)=O,Alert,Alert
Poly-Hydrazide,Will not match hydrazines or any N-substituted hydrazides,"[$([NX3H2][NX3H1][CX3](=[OX1])[#6]),$([NX3H2][NX3H1][CX3]([OD1h1])=C)].[$([NX3H2][NX3H1][CX3](=[OX1])[#6]),$([NX3H2][NX3H1][CX3]([OD1h1])=C)]",[2H]CC(CC(NN)=O)CC(NN)=O,Alert,Alert
Poly-Hydrazine,"Will not match any poly-substituted hydrazines, hydrazides, semicarbazides, thiosemicarbazides, imidosemicarbazides, azides,or  triazines.","[$([#6][NX3H1][NX3H2])&!$([$([NX3H2][NX3H1]C=[O,N,S$(A)]),$(C(=[O,N,S$(A)])[NX3H1][NX3H2]),$([NX3H2][NX3H1][CX3]([O,N,SX2H1$(A)])=[#6]),$(C([O,N,SX2H1$(A)])(=[#6])[NX3H1][NX3H2])])].[$([#6][NX3H1][NX3H2])&!$([$([NX3H2][NX3H1]C=[O,N,S$(A)]),$(C(=[O,N,S$(A)])[NX3H1][NX3H2]),$([NX3H2][NX3H1][CX3]([O,N,SX2H1$(A)])=[#6]),$(C([O,N,SX2H1$(A)])(=[#6])[NX3H1][NX3H2])])]",[2H]CC(CNN)CNN,Alert,Alert
Poly-Isocyanate,Does not exclude imides (i.e. benzoyl isocyanate),N=C=O.N=C=O,[2H]CC(CN=C=O)CN=C=O,Alert,Alert
Poly-Isoxazole,More than one isoxazole,c1nocc1.c1nocc1,[2H]CC(CC1=CON=C1)CC2=CON=C2,Ignore,Ignore
Poly-Ketone,At least two ketones in the same structure,"[$([#6][CX3](=[OX1])[#6].[#6][CX3](=[OX1])[#6]),$([#6][CX3](=[OX1])[#6][CX3](=[OX1])[#6])]",[2H]CC(CC(C)=O)CC(C)=O,Warn,Alert
Poly-Methoxyarene (>2),"Three methoxy groups on the same arene ring. The arene must be a six-membered ring, but could be either phenyl or heteroaryl.","[$([CX4H3][OX2][cr6R1][aR1]([OX2][CX4H3])[aR1][OX2][CX4H3]),$([CX4H3][OX2][cr6R1][aR1]([OX2][CX4H3])[aR1][aR1][OX2][CX4H3]),$([CX4H3][OX2][cr6R1][aR1][aR1]([OX2][CX4H3])[aR1][aR1][OX2][CX4H3])]",COC1=CC(C[2H])=CC(OC)=C1OC,Alert,Alert
Poly-Nitro,Matches both resonance structures,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][#6].[$([NX3](=O)=O),$([NX3+](=O)[O-])][#6]",[2H]CC(C[N+]([O-])=O)C[N+]([O-])=O,Alert,Alert
Poly-Ortho-Fluoro-Nitro Arene,More than one Ortho-Fluoro-Nitro Arene,"Fcc[$([NX3](=O)=O),$([NX3+](=O)[O-])].Fcc[$([NX3](=O)=O),$([NX3+](=O)[O-])]",FC1=C(C2=CC=CC([N+]([O-])=O)=C2F)C=C(C[2H])C=C1[N+]([O-])=O,Alert,Alert
Poly-Phenol,Phenols can be on the same ring or different rings,c[OD1h1].c[OD1h1],[2H]CC1=CC(O)=C(O)C=C1,Alert,Alert
Poly-SNAr F,"More than one F on an aromatic heterocycle (ortho or para to an EWG or aromatic N if on a 6-membered ring, or capable of forming a Meisenheimer complex on a 5-membered ring), or an ortho or para substituted nitrobenzene/benzonitrile/nitroheteroaryl/cyanoheteroaryl system","[F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])].[F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])]",[2H]CC1=NC(F)=CC(F)=C1,Warn,Alert
Poly-SNAr F or Cl,More than one SNAr F or Cl in the same molecule,"[Cl,F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])].[Cl,F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])]",[2H]CC1=NC(F)=CC(F)=C1,Warn,Alert
Poly-Sulfonyl Chloride,More than one sulfonyl chloride,Cl[SX4](=[OX1])(=[OX1]).Cl[SX4](=[OX1])(=[OX1]),[2H]CC(CS(=O)(Cl)=O)CS(=O)(Cl)=O,Alert,Alert
Poly-Terminal Alkyne,Alkyne is bonded to a carbon,[#6][CX2]#[CH1].[#6][CX2]#[CH1],[2H]CC(CC#C)CC#C,Ignore,Ignore
